person_id,company_id,role
carol_johnson,company_30,Intern
iris_taylor_1,company_49,Manager
will_silva,company_32,Engineer
uri_oh,company_28,Senior Engineer
alice_davis,company_39,Engineer
tara_martinez,company_46,Manager
carol_chen,company_29,Engineer
julia_martinez,company_3,Intern
iris_williams,company_25,Intern
xavier_williams,company_43,Engineer
neil_thomas,company_31,Intern
wendy_park,company_4,Engineer
will_martinez,company_20,Senior Engineer
kate_lopez,company_4,Senior Engineer
bob_lopez,company_17,Manager
aaron_thomas,company_24,Manager
kate_miller,company_29,Intern
carol_perez,company_6,Engineer
mona_santos,company_41,Senior Engineer
tina_anderson,company_27,Intern
bob_gonzalez,company_14,Intern
victor_moore,company_21,Intern
rachel_singh,company_25,Intern
zoe_moreno,company_46,Engineer
bob_davis,company_20,Intern
leo_taylor,company_20,Manager
grace_oh,company_23,Senior Engineer
vera_lee,company_43,Intern
maya_gomez,company_4,Engineer
yara_gonzalez,company_5,Engineer
carol_oh,company_27,Engineer
hannah_moreno,company_47,Manager
xavier_oh,company_8,Engineer
ruth_kumar,company_37,Manager
uma_davis,company_42,Engineer
george_martin,company_26,Manager
uma_kim_1,company_42,Intern
julia_rodriguez,company_46,Engineer
aaron_wang,company_18,Manager
noah_martin,company_22,Engineer
julia_johnson,company_36,Senior Engineer
sam_wilson_1,company_9,Intern
liam_lee,company_14,Engineer
chris_silva,company_22,Manager
george_perez,company_7,Manager
ruth_garcia,company_36,Senior Engineer
george_kumar,company_27,Engineer
paul_martin,company_38,Manager
mona_martinez,company_1,Senior Engineer
carol_thomas,company_17,Manager
noah_jones,company_21,Manager
aaron_gonzalez,company_0,Senior Engineer
fiona_kim,company_9,Intern
jack_johnson,company_4,Senior Engineer
bella_anderson,company_47,Engineer
tara_reyes,company_5,Senior Engineer
dave_thomas,company_24,Intern
diana_rodriguez,company_29,Manager
ruth_reyes,company_10,Manager
maya_lee,company_19,Manager
noah_gomez,company_49,Engineer
julia_silva,company_3,Senior Engineer
will_perez,company_10,Engineer
quinn_thomas,company_43,Engineer
hannah_fernandez,company_17,Intern
rachel_silva,company_42,Intern
uri_jackson,company_31,Intern
rachel_kumar,company_26,Manager
ian_garcia,company_13,Engineer
jack_anderson,company_22,Intern
tara_martinez_1,company_7,Manager
eve_park,company_43,Intern
victor_moreno,company_33,Manager
aaron_brown,company_2,Senior Engineer
aaron_wang_1,company_25,Engineer
tara_smith,company_0,Senior Engineer
yara_perez,company_19,Senior Engineer
wendy_martin,company_49,Senior Engineer
aaron_moreno,company_48,Manager
maya_anderson,company_18,Manager
olivia_moore,company_7,Engineer
fiona_smith,company_31,Intern
victor_kim,company_11,Senior Engineer
diana_rodriguez_1,company_24,Senior Engineer
ian_smith,company_32,Manager
liam_smith,company_4,Intern
quinn_oh,company_47,Engineer
diana_lopez,company_27,Engineer
quinn_wang,company_29,Engineer
neil_santos,company_20,Intern
victor_wang,company_36,Intern
aaron_taylor,company_45,Intern
ethan_smith,company_18,Engineer
dave_singh,company_25,Engineer
quinn_jones,company_20,Senior Engineer
bob_thomas,company_39,Intern
bob_martinez,company_44,Manager
iris_perez,company_5,Intern
kevin_wilson,company_6,Senior Engineer
tara_taylor,company_27,Intern
kate_davis,company_33,Engineer
tina_miller,company_25,Manager
bob_martin,company_47,Manager
stefan_wang,company_14,Manager
uri_gonzalez,company_49,Senior Engineer
liam_thomas,company_4,Engineer
tara_martin,company_33,Senior Engineer
henry_williams,company_49,Manager
ian_oh,company_22,Senior Engineer
eve_gomez_1,company_15,Engineer
alice_park,company_9,Manager
grace_oh_1,company_12,Senior Engineer
pia_santos,company_38,Senior Engineer
bella_lopez,company_48,Engineer
quinn_moore,company_11,Intern
ian_perez,company_29,Intern
bella_moore,company_43,Manager
paul_garcia,company_40,Manager
chris_thomas,company_9,Intern
kevin_wang,company_4,Intern
bob_fernandez,company_28,Manager
leo_fernandez,company_17,Engineer
wendy_taylor,company_22,Engineer
rachel_moore,company_19,Intern
alice_reyes,company_28,Engineer
frank_thomas,company_3,Manager
fiona_thomas,company_18,Engineer
quinn_fernandez_1,company_41,Engineer
bob_garcia,company_39,Intern
olivia_kim,company_29,Engineer
tina_chen,company_28,Senior Engineer
julia_reyes,company_20,Intern
bella_kumar,company_32,Senior Engineer
tara_santos,company_3,Intern
tina_taylor,company_6,Manager
henry_gonzalez,company_45,Engineer
henry_moreno,company_32,Senior Engineer
mona_wilson,company_2,Senior Engineer
rachel_reyes,company_45,Intern
sam_miller,company_28,Senior Engineer
sam_anderson,company_23,Manager
leo_martin,company_18,Intern
uri_moreno,company_26,Manager
rachel_williams,company_43,Engineer
julia_jackson,company_40,Manager
pia_fernandez,company_4,Manager
alice_jackson,company_6,Intern
ethan_silva,company_18,Manager
leo_brown,company_46,Senior Engineer
ethan_davis,company_21,Engineer
zoe_fernandez,company_37,Senior Engineer
kevin_brown,company_22,Manager
jack_martin,company_41,Intern
paul_davis,company_8,Engineer
aaron_anderson,company_19,Intern
yara_silva,company_41,Manager
tina_oh,company_8,Engineer
kevin_brown_1,company_41,Intern
will_miller,company_32,Manager
pia_wilson,company_1,Manager
ruth_garcia_1,company_19,Senior Engineer
paul_lopez,company_13,Manager
eve_hernandez,company_49,Intern
aaron_silva,company_12,Senior Engineer
ethan_jackson,company_8,Senior Engineer
olivia_jackson,company_4,Manager
tara_santos_1,company_6,Engineer
stefan_anderson,company_42,Manager
pia_gonzalez,company_49,Senior Engineer
henry_moreno_1,company_38,Intern
quinn_martinez,company_9,Senior Engineer
jack_jones,company_11,Senior Engineer
kate_martin,company_46,Intern
will_jackson,company_2,Intern
henry_santos,company_23,Senior Engineer
tara_kim,company_28,Manager
george_moreno,company_48,Intern
chris_garcia,company_14,Senior Engineer
carol_oh_1,company_19,Intern
maya_taylor,company_12,Manager
frank_anderson,company_43,Intern
liam_smith_1,company_29,Manager
kevin_williams,company_49,Intern
ethan_reyes,company_32,Intern
rachel_lopez,company_10,Senior Engineer
bella_fernandez,company_38,Senior Engineer
ethan_singh,company_16,Engineer
victor_lee,company_41,Intern
kate_kumar,company_23,Engineer
tara_fernandez_1,company_45,Engineer
ruth_kim,company_18,Engineer
carol_santos,company_48,Senior Engineer
uma_taylor,company_17,Intern
henry_kim,company_32,Senior Engineer
alice_moreno,company_27,Engineer
aaron_brown_1,company_14,Intern
hannah_chen,company_22,Engineer
fiona_silva,company_26,Engineer
neil_moore_1,company_25,Manager
iris_jackson,company_15,Intern
